PRIMARY_DIAGNOSIS|SECONDARY_DIAGNOSIS|PRIMARY_DIAGNOSIS_DESC|PRIMARY_BLOCKS_OF_CATEGORIES|SECONDARY_DIAGNOSIS_DESC|SECONDARY_BLOCKS_OF_CATEGORIES|COUNT(DISTINCTCLAIMS_ID)
E10|I10|insulin-dependent diabetes mellitus|diabetes mellitus|essential (primary) hypertension|hypertensive diseases|58
E11|I10|non-insulin-dependent diabetes mellitus|diabetes mellitus|essential (primary) hypertension|hypertensive diseases|481
E13|I10|other specified diabetes mellitus|diabetes mellitus|essential (primary) hypertension|hypertensive diseases|683
E75.6|I10|other lipid storage disorders|metabolic disorders|essential (primary) hypertension|hypertensive diseases|20
E78|I10|disorder of lipoprotein metabolism and other lipideamias|metabolic disorders|essential (primary) hypertension|hypertensive diseases|30
E78.0|I10|pure hypercholesterolemia|metabolic disorders|essential (primary) hypertension|hypertensive diseases|71
E78.4|I10|other hyperlipidemia|metabolic disorders|essential (primary) hypertension|hypertensive diseases|86
E78.5|I10|hyperlipidaemia|metabolic disorders|essential (primary) hypertension|hypertensive diseases|300
E79.0|I10|hyperurecaemia without signs of inflammatory arthritis and tophaceous disease|metabolic disorders|essential (primary) hypertension|hypertensive diseases|14
G40|I10|epilepsy|episodic and paroxysmal disorders|essential (primary) hypertension|hypertensive diseases|6
G43|I10|migraine (nyeri kepala sebelah)|episodic and paroxysmal disorders|essential (primary) hypertension|hypertensive diseases|10
G44|I10|other headache syndromes (sindrom sakit kepala)|episodic and paroxysmal disorders|essential (primary) hypertension|hypertensive diseases|13
G44.2|I10|tension type headache|episodic and paroxysmal disorders|essential (primary) hypertension|hypertensive diseases|48
G45.9|I10|transient cerebral ischaemic attack|episodic and paroxysmal disorders|essential (primary) hypertension|hypertensive diseases|10
G62.9|I10|polyneuropathy|polyneuropathies and other disorders of the peripheral nervous system|essential (primary) hypertension|hypertensive diseases|10
H10|I10|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|essential (primary) hypertension|hypertensive diseases|12
H26|I10|other cataract|disorders of lens|essential (primary) hypertension|hypertensive diseases|8
H81.1|I10|benign paroxysmal vertigo|diseases of inner ear|essential (primary) hypertension|hypertensive diseases|28
H82|I10|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|essential (primary) hypertension|hypertensive diseases|119
I11.9|I10|hypertensive heart disease without (congestive) heart failure|hypertensive diseases|essential (primary) hypertension|hypertensive diseases|29
I15|I10|secondary hypertension|hypertensive diseases|essential (primary) hypertension|hypertensive diseases|8
I20|I10|angina pectoris|ischaemic heart diseases|essential (primary) hypertension|hypertensive diseases|23
I20.0|I10|unstable angina|ischaemic heart diseases|essential (primary) hypertension|hypertensive diseases|6
I21|I10|acute myocardial infarction|ischaemic heart diseases|essential (primary) hypertension|hypertensive diseases|13
I25|I10|chronic ischaemic heart disease|ischaemic heart diseases|essential (primary) hypertension|hypertensive diseases|81
I25.1|I10|coronary atrial diseases (cad)|ischaemic heart diseases|essential (primary) hypertension|hypertensive diseases|214
I50|I10|heart failure (gagal jantung)|other forms of heart disease|essential (primary) hypertension|hypertensive diseases|14
I50.0|I10|congestive heart failure (gagal jantung kongestif)|other forms of heart disease|essential (primary) hypertension|hypertensive diseases|12
I63|I10|cerebral infarction|cerebrovascular diseases|essential (primary) hypertension|hypertensive diseases|175
I63.9|I10|cerebral infarction, unspecified|cerebrovascular diseases|essential (primary) hypertension|hypertensive diseases|9
I64|I10|stroke not specified as haemorrhage or infarction|cerebrovascular diseases|essential (primary) hypertension|hypertensive diseases|109
I67|I10|other cerebrovascular diseases|cerebrovascular diseases|essential (primary) hypertension|hypertensive diseases|44
I84|I10|haemorrhoids (ambein)|diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|essential (primary) hypertension|hypertensive diseases|17
J00|I10|acute nasopharyngitis (common cold)|acute upper respiratory infections|essential (primary) hypertension|hypertensive diseases|89
J01|I10|acute sinusitis|acute upper respiratory infections|essential (primary) hypertension|hypertensive diseases|6
J02|I10|acute pharyngitis|acute upper respiratory infections|essential (primary) hypertension|hypertensive diseases|233
J02.9|I10|acute pharyngitis|acute upper respiratory infections|essential (primary) hypertension|hypertensive diseases|10
J03|I10|acute tonsilitis|acute upper respiratory infections|essential (primary) hypertension|hypertensive diseases|19
J06|I10|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|essential (primary) hypertension|hypertensive diseases|612
J06.8|I10|other acute upper respiratory infections of multiple sites|acute upper respiratory infections|essential (primary) hypertension|hypertensive diseases|6
J06.9|I10|acute upper respiratory infection|acute upper respiratory infections|essential (primary) hypertension|hypertensive diseases|37
J18|I10|pneumonia|influenza and pneumonia|essential (primary) hypertension|hypertensive diseases|12
J18.0|I10|bronchopneumonia |influenza and pneumonia|essential (primary) hypertension|hypertensive diseases|9
J20|I10|acute bronchitis|other acute lower respiratory infections|essential (primary) hypertension|hypertensive diseases|36
J30|I10|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|essential (primary) hypertension|hypertensive diseases|10
J30.4|I10|allergic rhinitis|other diseases of upper respiratory tract|essential (primary) hypertension|hypertensive diseases|14
J31|I10|chronic rhinitis|other diseases of upper respiratory tract|essential (primary) hypertension|hypertensive diseases|17
J40|I10|bronchitis|chronic lower respiratory diseases|essential (primary) hypertension|hypertensive diseases|19
J45|I10|asthma|chronic lower respiratory diseases|essential (primary) hypertension|hypertensive diseases|27
K21.0|I10|gastro-oesophageal reflux disease with oesophagitis|diseases of oesophagus, stomach and duodenum|essential (primary) hypertension|hypertensive diseases|15
K21.9|I10|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|essential (primary) hypertension|hypertensive diseases|31
K29|I10|gastritis and duodenitis|diseases of oesophagus, stomach and duodenum|essential (primary) hypertension|hypertensive diseases|18
K29.0|I10|acute haemorrhagic gastritis|diseases of oesophagus, stomach and duodenum|essential (primary) hypertension|hypertensive diseases|9
K29.6|I10|other gastritis|diseases of oesophagus, stomach and duodenum|essential (primary) hypertension|hypertensive diseases|8
K29.7|I10|gastritis|diseases of oesophagus, stomach and duodenum|essential (primary) hypertension|hypertensive diseases|65
K30|I10|dyspepsia|diseases of oesophagus, stomach and duodenum|essential (primary) hypertension|hypertensive diseases|227
K76.0|I10|fatty liver- not elsewhere classified|diseases of liver|essential (primary) hypertension|hypertensive diseases|8
K80|I10|cholelithiasis|disorders of gallbladder, biliary tract and pancreas|essential (primary) hypertension|hypertensive diseases|8
K81|I10|cholecystitis|disorders of gallbladder, biliary tract and pancreas|essential (primary) hypertension|hypertensive diseases|6
L02|I10|cutaneous abscess|infections of the skin and subcutaneous tissue|essential (primary) hypertension|hypertensive diseases|11
L23|I10|allergic contact dermatitis|dermatitis and eczema|essential (primary) hypertension|hypertensive diseases|11
L30|I10|other dermatitis|dermatitis and eczema|essential (primary) hypertension|hypertensive diseases|13
L30.9|I10|dermatitis|dermatitis and eczema|essential (primary) hypertension|hypertensive diseases|6
L50|I10|urticaria/pruritus (gatal-gatal)|urticaria and erythema|essential (primary) hypertension|hypertensive diseases|7
L50.9|I10|urticaria|urticaria and erythema|essential (primary) hypertension|hypertensive diseases|10
M06.9|I10|rheumathoid arthritis |arthropathies|essential (primary) hypertension|hypertensive diseases|6
M10|I10|gout|arthropathies|essential (primary) hypertension|hypertensive diseases|17
M10.9|I10|gout |arthropathies|essential (primary) hypertension|hypertensive diseases|6
M13.9|I10|arthritis- unspecified|arthropathies|essential (primary) hypertension|hypertensive diseases|27
M15.0|I10|primary generalised (osteo)arthrosis|arthropathies|essential (primary) hypertension|hypertensive diseases|32
M19|I10|other arthrosis|arthropathies|essential (primary) hypertension|hypertensive diseases|6
M25.5|I10|pain in joint (arthralgia)|arthropathies|essential (primary) hypertension|hypertensive diseases|13
M51.2|I10|other specified intervertebral disc displacement|dorsopathies|essential (primary) hypertension|hypertensive diseases|6
M54.2|I10|cervicalgia|dorsopathies|essential (primary) hypertension|hypertensive diseases|12
M54.3|I10|lumbago with sciatica|dorsopathies|essential (primary) hypertension|hypertensive diseases|8
M54.5|I10|low back pain (nyeri punggung)|dorsopathies|essential (primary) hypertension|hypertensive diseases|61
M62.6|I10|muscle strain|soft tissue disorders|essential (primary) hypertension|hypertensive diseases|8
M79|I10|other soft tissue disorders|soft tissue disorders|essential (primary) hypertension|hypertensive diseases|7
M79.1|I10|myalgia (nyeri otot|soft tissue disorders|essential (primary) hypertension|hypertensive diseases|68
M79.19|I10|myalgia|soft tissue disorders|essential (primary) hypertension|hypertensive diseases|18
N18|I10|chronic kidney disease|renal failure|essential (primary) hypertension|hypertensive diseases|118
N23|I10|unspecified renal colic|urolithiasis|essential (primary) hypertension|hypertensive diseases|8
N30.9|I10|urinary tract infections |other diseases of urinary system|essential (primary) hypertension|hypertensive diseases|8
N39.0|I10|urinary tract infection- site not specified|other diseases of urinary system|essential (primary) hypertension|hypertensive diseases|15
N40|I10|hyperplasia of prostate|diseases of male genital organs|essential (primary) hypertension|hypertensive diseases|7
R04.0|I10|epistaxis (mimisan)|symptoms and signs involving the circulatory and respiratory systems|essential (primary) hypertension|hypertensive diseases|17
R05|I10|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|essential (primary) hypertension|hypertensive diseases|10
R07.4|I10|chest pain|symptoms and signs involving the circulatory and respiratory systems|essential (primary) hypertension|hypertensive diseases|29
R10|I10|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|essential (primary) hypertension|hypertensive diseases|20
R10.0|I10|acute abdomen|symptoms and signs involving the digestive system and abdomen|essential (primary) hypertension|hypertensive diseases|14
R10.4|I10|other and unspecified abdominal pain|symptoms and signs involving the digestive system and abdomen|essential (primary) hypertension|hypertensive diseases|6
R42|I10|dizziness and giddiness|symptoms and signs involving cognition, perception, emotional state and behaviour|essential (primary) hypertension|hypertensive diseases|6
R50.9|I10|fever|general symptoms and signs|essential (primary) hypertension|hypertensive diseases|99
R51|I10|headache ( cephalgia)|general symptoms and signs|essential (primary) hypertension|hypertensive diseases|270
T14|I10|injury of unspecified body region|injuries to unspecified part of trunk, limb or body region|essential (primary) hypertension|hypertensive diseases|12
Z49|I10|care involving dialysis|persons encountering health services for specific procedures and health care|essential (primary) hypertension|hypertensive diseases|6
H61.2|H69.9|impacted cerumen (kotoran di telinga)|diseases of external ear|eusthacian tube disorder|diseases of middle ear and mastoid|21
H66.9|H69.9|otitis media|diseases of middle ear and mastoid|eusthacian tube disorder|diseases of middle ear and mastoid|6
J01|H69.9|acute sinusitis|acute upper respiratory infections|eusthacian tube disorder|diseases of middle ear and mastoid|16
J02|H69.9|acute pharyngitis|acute upper respiratory infections|eusthacian tube disorder|diseases of middle ear and mastoid|19
J30.4|H69.9|allergic rhinitis|other diseases of upper respiratory tract|eusthacian tube disorder|diseases of middle ear and mastoid|12
J31|H69.9|chronic rhinitis|other diseases of upper respiratory tract|eusthacian tube disorder|diseases of middle ear and mastoid|20
J02|B08.2|acute pharyngitis|acute upper respiratory infections|exanthema subitum [sixth disease]|viral infections characterized by skin and mucous membrane lesions|11
J06|B08.2|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|exanthema subitum [sixth disease]|viral infections characterized by skin and mucous membrane lesions|16
R50.9|B08.2|fever|general symptoms and signs|exanthema subitum [sixth disease]|viral infections characterized by skin and mucous membrane lesions|6
J00|N92.1|acute nasopharyngitis (common cold)|acute upper respiratory infections|excessive and frequent menstruation with irregular cycle|noninflammatory disorders of female genital tract|11
R10|N92.1|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|excessive and frequent menstruation with irregular cycle|noninflammatory disorders of female genital tract|13
D25|N92.0|leiomyoma of uterus/myoma uteri|benign neoplasms|excessive and frequent menstruation with regular cycle/menorrhagia|noninflammatory disorders of female genital tract|6
D64.9|N92.0|anaemia, unspecified|aplastic and other anaemias|excessive and frequent menstruation with regular cycle/menorrhagia|noninflammatory disorders of female genital tract|6
J00|N92.0|acute nasopharyngitis (common cold)|acute upper respiratory infections|excessive and frequent menstruation with regular cycle/menorrhagia|noninflammatory disorders of female genital tract|26
R10|N92.0|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|excessive and frequent menstruation with regular cycle/menorrhagia|noninflammatory disorders of female genital tract|28
R10.0|N92.0|acute abdomen|symptoms and signs involving the digestive system and abdomen|excessive and frequent menstruation with regular cycle/menorrhagia|noninflammatory disorders of female genital tract|16
Z30|N92.0|contraceptive management (kontrasepsi)|persons encountering health services in circumstances related to reproduction|excessive and frequent menstruation with regular cycle/menorrhagia|noninflammatory disorders of female genital tract|12
A01.0|O21|typhoid fever |intestinal infectious diseases|excessive vomiting in pregnancy/hyperemesis gravidarum|other maternal disorders predominantly related to pregnancy|6
A09|O21|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|excessive vomiting in pregnancy/hyperemesis gravidarum|other maternal disorders predominantly related to pregnancy|7
R10|O21|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|excessive vomiting in pregnancy/hyperemesis gravidarum|other maternal disorders predominantly related to pregnancy|11
R11|O21|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|excessive vomiting in pregnancy/hyperemesis gravidarum|other maternal disorders predominantly related to pregnancy|11
Z34|O21|supervision of normal pregnancy|persons encountering health services in circumstances related to reproduction|excessive vomiting in pregnancy/hyperemesis gravidarum|other maternal disorders predominantly related to pregnancy|43
A01.0|K76.0|typhoid fever |intestinal infectious diseases|fatty liver- not elsewhere classified|diseases of liver|24
A09|K76.0|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|fatty liver- not elsewhere classified|diseases of liver|27
A15.0|K76.0|tuberculosis of lung|tuberculosis|fatty liver- not elsewhere classified|diseases of liver|8
A90|K76.0|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|fatty liver- not elsewhere classified|diseases of liver|15
A91|K76.0|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|fatty liver- not elsewhere classified|diseases of liver|47
B15|K76.0|acute hepatitis a|viral hepatitis|fatty liver- not elsewhere classified|diseases of liver|6
B16|K76.0|acute hepatitis b|viral hepatitis|fatty liver- not elsewhere classified|diseases of liver|11
B34.9|K76.0|viral infection, unspecified|other viral diseases|fatty liver- not elsewhere classified|diseases of liver|8
E11|K76.0|non-insulin-dependent diabetes mellitus|diabetes mellitus|fatty liver- not elsewhere classified|diseases of liver|22
E13|K76.0|other specified diabetes mellitus|diabetes mellitus|fatty liver- not elsewhere classified|diseases of liver|70
E75.6|K76.0|other lipid storage disorders|metabolic disorders|fatty liver- not elsewhere classified|diseases of liver|7
E78|K76.0|disorder of lipoprotein metabolism and other lipideamias|metabolic disorders|fatty liver- not elsewhere classified|diseases of liver|8
E78.0|K76.0|pure hypercholesterolemia|metabolic disorders|fatty liver- not elsewhere classified|diseases of liver|24
E78.4|K76.0|other hyperlipidemia|metabolic disorders|fatty liver- not elsewhere classified|diseases of liver|55
E78.5|K76.0|hyperlipidaemia|metabolic disorders|fatty liver- not elsewhere classified|diseases of liver|154
E79.0|K76.0|hyperurecaemia without signs of inflammatory arthritis and tophaceous disease|metabolic disorders|fatty liver- not elsewhere classified|diseases of liver|15
I10|K76.0|essential (primary) hypertension|hypertensive diseases|fatty liver- not elsewhere classified|diseases of liver|21
I15|K76.0|secondary hypertension|hypertensive diseases|fatty liver- not elsewhere classified|diseases of liver|7
J02|K76.0|acute pharyngitis|acute upper respiratory infections|fatty liver- not elsewhere classified|diseases of liver|6
J06|K76.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|fatty liver- not elsewhere classified|diseases of liver|15
K21.9|K76.0|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|fatty liver- not elsewhere classified|diseases of liver|32
K29.7|K76.0|gastritis|diseases of oesophagus, stomach and duodenum|fatty liver- not elsewhere classified|diseases of liver|26
K30|K76.0|dyspepsia|diseases of oesophagus, stomach and duodenum|fatty liver- not elsewhere classified|diseases of liver|125
K35|K76.0|acute appendicitis|diseases of appendix|fatty liver- not elsewhere classified|diseases of liver|11
K80|K76.0|cholelithiasis|disorders of gallbladder, biliary tract and pancreas|fatty liver- not elsewhere classified|diseases of liver|47
K81|K76.0|cholecystitis|disorders of gallbladder, biliary tract and pancreas|fatty liver- not elsewhere classified|diseases of liver|11
M54.5|K76.0|low back pain (nyeri punggung)|dorsopathies|fatty liver- not elsewhere classified|diseases of liver|8
N30|K76.0|cystitis|other diseases of urinary system|fatty liver- not elsewhere classified|diseases of liver|6
N39.0|K76.0|urinary tract infection- site not specified|other diseases of urinary system|fatty liver- not elsewhere classified|diseases of liver|6
N40|K76.0|hyperplasia of prostate|diseases of male genital organs|fatty liver- not elsewhere classified|diseases of liver|7
R10|K76.0|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|fatty liver- not elsewhere classified|diseases of liver|17
R10.4|K76.0|other and unspecified abdominal pain|symptoms and signs involving the digestive system and abdomen|fatty liver- not elsewhere classified|diseases of liver|11
R50.9|K76.0|fever|general symptoms and signs|fatty liver- not elsewhere classified|diseases of liver|9
R51|K76.0|headache ( cephalgia)|general symptoms and signs|fatty liver- not elsewhere classified|diseases of liver|15
A01.0|R56.0|typhoid fever |intestinal infectious diseases|febrile convulsions|general symptoms and signs|12
A09|R56.0|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|febrile convulsions|general symptoms and signs|42
A49|R56.0|bacterial infection of unspecified site|other bacterial diseases|febrile convulsions|general symptoms and signs|38
A90|R56.0|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|febrile convulsions|general symptoms and signs|7
A91|R56.0|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|febrile convulsions|general symptoms and signs|9
B34|R56.0|viral infection of unspecified sites|other viral diseases|febrile convulsions|general symptoms and signs|15
B34.9|R56.0|viral infection, unspecified|other viral diseases|febrile convulsions|general symptoms and signs|21
J00|R56.0|acute nasopharyngitis (common cold)|acute upper respiratory infections|febrile convulsions|general symptoms and signs|21
J02|R56.0|acute pharyngitis|acute upper respiratory infections|febrile convulsions|general symptoms and signs|81
J03|R56.0|acute tonsilitis|acute upper respiratory infections|febrile convulsions|general symptoms and signs|13
J06|R56.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|febrile convulsions|general symptoms and signs|123
J18.0|R56.0|bronchopneumonia |influenza and pneumonia|febrile convulsions|general symptoms and signs|37
J20|R56.0|acute bronchitis|other acute lower respiratory infections|febrile convulsions|general symptoms and signs|6
J40|R56.0|bronchitis|chronic lower respiratory diseases|febrile convulsions|general symptoms and signs|8
R11|R56.0|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|febrile convulsions|general symptoms and signs|6
R50.9|R56.0|fever|general symptoms and signs|febrile convulsions|general symptoms and signs|53
B37.3|N97|candidiasis of vulva and vagina (fluor albus)|mycoses|female infertility|noninflammatory disorders of female genital tract|9
J00|N97|acute nasopharyngitis (common cold)|acute upper respiratory infections|female infertility|noninflammatory disorders of female genital tract|7
R10.0|N97|acute abdomen|symptoms and signs involving the digestive system and abdomen|female infertility|noninflammatory disorders of female genital tract|7
Z34|N97|supervision of normal pregnancy|persons encountering health services in circumstances related to reproduction|female infertility|noninflammatory disorders of female genital tract|8
R10|N73.9|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|female pelvic inflammatory disease|inflammatory diseases of female pelvic organs|6
N70.9|N74|salpingitis and oophoritis (adnexitis), unspecified|inflammatory diseases of female pelvic organs|female pelvic inflammatory disorder|inflammatory diseases of female pelvic organs|11
R10|N74|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|female pelvic inflammatory disorder|inflammatory diseases of female pelvic organs|15
A01|R50.9|typhoid and paratyphoid fevers|intestinal infectious diseases|fever|general symptoms and signs|8
A01.0|R50.9|typhoid fever |intestinal infectious diseases|fever|general symptoms and signs|306
A01.1|R50.9|paratyphoid fever a|intestinal infectious diseases|fever|general symptoms and signs|7
A08.3|R50.9|other viral enteritis|intestinal infectious diseases|fever|general symptoms and signs|11
A09|R50.9|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|fever|general symptoms and signs|1,347
A15.0|R50.9|tuberculosis of lung|tuberculosis|fever|general symptoms and signs|23
A49|R50.9|bacterial infection of unspecified site|other bacterial diseases|fever|general symptoms and signs|167
A88.1|R50.9|epidemic vertigo|viral infections of the central nervous system|fever|general symptoms and signs|21
A90|R50.9|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|fever|general symptoms and signs|115
A91|R50.9|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|fever|general symptoms and signs|129
B01|R50.9|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|fever|general symptoms and signs|36
B02|R50.9|zoster (herpes zoster)|viral infections characterized by skin and mucous membrane lesions|fever|general symptoms and signs|8
B05|R50.9|measles (campak)|viral infections characterized by skin and mucous membrane lesions|fever|general symptoms and signs|15
B08.4|R50.9|enteroviral vesicular stomatitis with exanthem (hand|viral infections characterized by skin and mucous membrane lesions|fever|general symptoms and signs|7
B26|R50.9|mumps|other viral diseases|fever|general symptoms and signs|12
B34|R50.9|viral infection of unspecified sites|other viral diseases|fever|general symptoms and signs|263
B34.8|R50.9|other viral infection of unspecified site|other viral diseases|fever|general symptoms and signs|17
B34.9|R50.9|viral infection, unspecified|other viral diseases|fever|general symptoms and signs|235
B37.0|R50.9|candida stomatitis|mycoses|fever|general symptoms and signs|11
D64|R50.9|other anaemias|aplastic and other anaemias|fever|general symptoms and signs|19
D64.9|R50.9|anaemia, unspecified|aplastic and other anaemias|fever|general symptoms and signs|17
E11|R50.9|non-insulin-dependent diabetes mellitus|diabetes mellitus|fever|general symptoms and signs|15
E13|R50.9|other specified diabetes mellitus|diabetes mellitus|fever|general symptoms and signs|28
E78.4|R50.9|other hyperlipidemia|metabolic disorders|fever|general symptoms and signs|10
E78.5|R50.9|hyperlipidaemia|metabolic disorders|fever|general symptoms and signs|21
G44|R50.9|other headache syndromes (sindrom sakit kepala)|episodic and paroxysmal disorders|fever|general symptoms and signs|8
G44.2|R50.9|tension type headache|episodic and paroxysmal disorders|fever|general symptoms and signs|14
H00|R50.9|hordeolum and chalazion|disorders of eyelid, lacrimal system and orbit|fever|general symptoms and signs|6
H10|R50.9|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|fever|general symptoms and signs|36
H10.9|R50.9|conjunctivitis, unspecified|disorders of conjunctiva|fever|general symptoms and signs|14
H60|R50.9|otitis externa|diseases of external ear|fever|general symptoms and signs|7
H61.2|R50.9|impacted cerumen (kotoran di telinga)|diseases of external ear|fever|general symptoms and signs|7
H66.9|R50.9|otitis media|diseases of middle ear and mastoid|fever|general symptoms and signs|10
H81.1|R50.9|benign paroxysmal vertigo|diseases of inner ear|fever|general symptoms and signs|8
H82|R50.9|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|fever|general symptoms and signs|63
I10|R50.9|essential (primary) hypertension|hypertensive diseases|fever|general symptoms and signs|41
I15|R50.9|secondary hypertension|hypertensive diseases|fever|general symptoms and signs|23
I84|R50.9|haemorrhoids (ambein)|diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|fever|general symptoms and signs|15
J00|R50.9|acute nasopharyngitis (common cold)|acute upper respiratory infections|fever|general symptoms and signs|374
J01|R50.9|acute sinusitis|acute upper respiratory infections|fever|general symptoms and signs|29
J02|R50.9|acute pharyngitis|acute upper respiratory infections|fever|general symptoms and signs|2,000
J02.9|R50.9|acute pharyngitis|acute upper respiratory infections|fever|general symptoms and signs|48
J03|R50.9|acute tonsilitis|acute upper respiratory infections|fever|general symptoms and signs|277
J04.0|R50.9|acute laryngitis|acute upper respiratory infections|fever|general symptoms and signs|6
J06|R50.9|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|fever|general symptoms and signs|4,871
J06.0|R50.9|acute laryngopharyngitis|acute upper respiratory infections|fever|general symptoms and signs|7
J06.8|R50.9|other acute upper respiratory infections of multiple sites|acute upper respiratory infections|fever|general symptoms and signs|90
J06.9|R50.9|acute upper respiratory infection|acute upper respiratory infections|fever|general symptoms and signs|133
J10|R50.9|influenza due to identified influenza virus|influenza and pneumonia|fever|general symptoms and signs|12
J11|R50.9|influenza virus not identified|influenza and pneumonia|fever|general symptoms and signs|13
J18|R50.9|pneumonia|influenza and pneumonia|fever|general symptoms and signs|23
J18.0|R50.9|bronchopneumonia |influenza and pneumonia|fever|general symptoms and signs|78
J18.9|R50.9|pneumonia|influenza and pneumonia|fever|general symptoms and signs|6
J20|R50.9|acute bronchitis|other acute lower respiratory infections|fever|general symptoms and signs|182
J21|R50.9|acute bronchiolitis|other acute lower respiratory infections|fever|general symptoms and signs|11
J30|R50.9|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|fever|general symptoms and signs|26
J30.4|R50.9|allergic rhinitis|other diseases of upper respiratory tract|fever|general symptoms and signs|47
J31|R50.9|chronic rhinitis|other diseases of upper respiratory tract|fever|general symptoms and signs|87
J31.2|R50.9|chronic pharyngitis|other diseases of upper respiratory tract|fever|general symptoms and signs|14
J40|R50.9|bronchitis|chronic lower respiratory diseases|fever|general symptoms and signs|64
J45|R50.9|asthma|chronic lower respiratory diseases|fever|general symptoms and signs|54
K12|R50.9|stomatitis and related lesions|diseases of oral cavity, salivary glands and jaws|fever|general symptoms and signs|89
K12.0|R50.9|recurrent oral aphthae (stomatitis)|diseases of oral cavity, salivary glands and jaws|fever|general symptoms and signs|13
K21.0|R50.9|gastro-oesophageal reflux disease with oesophagitis|diseases of oesophagus, stomach and duodenum|fever|general symptoms and signs|9
K21.9|R50.9|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|fever|general symptoms and signs|51
K29|R50.9|gastritis and duodenitis|diseases of oesophagus, stomach and duodenum|fever|general symptoms and signs|35
K29.0|R50.9|acute haemorrhagic gastritis|diseases of oesophagus, stomach and duodenum|fever|general symptoms and signs|14
K29.1|R50.9|other acute gastritis|diseases of oesophagus, stomach and duodenum|fever|general symptoms and signs|12
K29.6|R50.9|other gastritis|diseases of oesophagus, stomach and duodenum|fever|general symptoms and signs|24
K29.7|R50.9|gastritis|diseases of oesophagus, stomach and duodenum|fever|general symptoms and signs|204
K30|R50.9|dyspepsia|diseases of oesophagus, stomach and duodenum|fever|general symptoms and signs|852
K35|R50.9|acute appendicitis|diseases of appendix|fever|general symptoms and signs|15
K59.0|R50.9|constipation (susah buang air besar)|other diseases of intestines|fever|general symptoms and signs|21
K92.1|R50.9|melaena (melena|other diseases of the digestive system|fever|general symptoms and signs|6
L01|R50.9|impetigo|infections of the skin and subcutaneous tissue|fever|general symptoms and signs|9
L02|R50.9|cutaneous abscess|infections of the skin and subcutaneous tissue|fever|general symptoms and signs|16
L02.9|R50.9|cutaneous abscess- furuncle and carbuncle|infections of the skin and subcutaneous tissue|fever|general symptoms and signs|10
L04|R50.9|acute lymphadenitis|infections of the skin and subcutaneous tissue|fever|general symptoms and signs|18
L20|R50.9|atopic dermatitis|dermatitis and eczema|fever|general symptoms and signs|13
L23|R50.9|allergic contact dermatitis|dermatitis and eczema|fever|general symptoms and signs|23
L30|R50.9|other dermatitis|dermatitis and eczema|fever|general symptoms and signs|40
L30.9|R50.9|dermatitis|dermatitis and eczema|fever|general symptoms and signs|7
L50|R50.9|urticaria/pruritus (gatal-gatal)|urticaria and erythema|fever|general symptoms and signs|29
